Title,Author(s),Publisher(s),Year Published,Pages,Description,Genre
सांइस के प्रेक्टिकल गेम (2),Varun Sharma,Vigyan Sahitya,2013,116,"Practical science games and experiments, Volume 2.",Hindi Literature
अंधविश्वास ओर विज्ञान (2),,,,,"Examines the conflict between superstitions and scientific reasoning, Volume 2.",Hindi Literature
भारतीय प्रक्षेपास्त्र के जनक (2),Puja Editorial Board,Navjeevan Printers & Publishers,,98,"Focuses on the pioneers of Indian missile technology, Volume 2.",Hindi Literature
Jouney from the Center of the Sun (2),Jack B Zirker,Princeton University Press,2004,,"A narrative journey from the center of the Sun, Volume 2.",Science
Quantitative Methods in Aquatic Ecotoxicology (2),Michael C. Newman,CRC Press,1994-12-21,452,A detailed study of quantitative methods used in aquatic ecotoxicology.,Environmental Science
Chemical and Biological Warfare (2),D. Hank Ellison,CRC Press,1973,620,Explores the science and implications of chemical and biological warfare.,Science/Technology
Practical Electronics (2),Veeramanikandasamy T,Independently Published,1994,250,Practical guide to electronics with hands-on applications and experiments.,Technology/Engineering
Techno - Market Survey Report on Automatic Electronics (2),Raw Materials Research and Development Council (Nigeria). Multi-Disciplinary Committee,,2003,116,Market survey report on automatic electronics technology and trends.,Technology/Engineering
Tropospheric Ozone (2),"Anne Lindskog, EUROTRAC-2 International Scientific Secretariat",,2003,168,Examines the impact and implications of tropospheric ozone.,Environmental Science
A to Z Physics for 12 Class (2),"Pavel Kurasov, Ari Laptev, Sergey Naboko, Barry Simon",Springer Nature,2020-07-14,627,"Comprehensive physics guide for 12th-grade students, covering key concepts from A to Z.",Textbook
A to Z Physics for XI Class (2),Umesh Jalan,Walnut Publication,2021-04-16,528,"Comprehensive physics guide for 11th-grade students, covering key concepts from A to Z.",Textbook
Optics (2),Emil Wolf,,1963,,Focuses on the principles and applications of optics.,Science
नूतन माध्यमिक भौतिकी (3),,,,,"Modern secondary school physics textbook, Volume 3.",Textbook
Fundamental of Modern Physics (2),"Claudio Teitelboim, Jorge Zanelli",Springer Science & Business Media,2012-12-06,315,"Covers the fundamentals of modern physics, including key theories and concepts.",Science
Electricity and Magnetism (2),"Betty Isabelle Bleaney, B Bleaney",Oxford University Press (UK),2013-03-28,489,Discusses principles and applications of electricity and magnetism.,Science
प्राक्षेपिकी (2),,,,,"Explores the principles of projectile motion, Volume 2.",Science
Teaching of Physics (2),Charles E. Dull,,1944,,Focuses on effective teaching methods for physics.,Educational
Heat Thermodynamics & Statistical Physics (2),Brij Lal | N Subrahmanyam | PS Hemne,S. Chand Publishing,2008,652,"Covers topics in heat, thermodynamics, and statistical physics.",Science
The MS-DOS Handbook - 1829 (2),Richard Allen King,,1986,388,"A handbook for MS-DOS operating system users, detailing functions and operations.",Technology/Computing
भूकंप क्या? क्यों? कैसे? (2),,,,,"Explains earthquakes, their causes, and effects, Volume 2.",Hindi Literature
ऊर्जा संसाधनोें की खोज में (2),,,,,Explores the search for energy resources.,Hindi Literature
धरती काँपती क्यों है? (2),,,,,"Examines why and how the Earth experiences earthquakes, Volume 2.",Hindi Literature
General Knowledge Manual - 2010,Thorpe,Pearson Education India,2009,516,A general knowledge manual for the year 2010.,General Knowledge
Advanced Techniques in Turbo Pascal,Charles C. Edwards,Sybex,1987,352,Advanced techniques and methodologies in Turbo Pascal programming.,Programming
Computer Programming Languages,Adesh Silva,,2019-09-24,240,Overview of various computer programming languages.,Programming
Windows 2000,Element K Content LLC,,2003,756,A guide to Windows 2000 operating system features and functionalities.,Technology/Operating Systems
Local Networks for Computer Communications,William Stallings,MacMillan Publishing Company,1984,408,Discusses local networks and their use in computer communications.,Networking
Understanding dBASE IV Programming,Judd Robbins,Prentice Hall,1989-01-01,348,Provides insights into dBASE IV programming and its applications.,Programming
New Techniques in Software Programming Management,W. Dwain Simpson,New York : Wiley,1987,250,Covers new techniques in managing software programming projects.,Programming/Management
Understanding dBASE II Plus,Alan Simpson,Sybex,1986,452,Explains the functionalities and applications of dBASE II Plus database management system.,Programming
Understanding dBASE III Plus,Alan Simpson,Sybex,1986,452,Details the features and capabilities of dBASE III Plus database management system.,Programming
Data Management & File Processing,Mary E. S. Loomis,Prentice Hall,1983,524,Focuses on data management techniques and file processing methods.,Data Management
Algorithms & Data Structures - Programming,Niklaus Wirth,Prentice Hall,1986,296,Covers algorithms and data structures crucial for programming.,Programming
Understanding UNIX,"James R. Groff, Paul N. Weinberg",Prentice Hall,1988,264,An introduction to the UNIX operating system and its functionalities.,Operating Systems
Computer Insecurity,Steven M. Furnell,Springer Science & Business Media,2007-03-06,245,Discusses issues related to computer security and vulnerabilities.,Security/Technology
"कम्प्यूटर क्या, क्यों, कैसे?","Apporv Ojas, Suyash Shrivastava",SBPD Publishing House,2022-01-14,228,"Provides a basic understanding of computers, their functions, and uses.",Hindi Literature
कम्प्यूटर एक सरल अध्ययन,"Apporv Ojas, Suyash Shrivastava",SBPD Publishing House,2022-01-14,228,A simplified study of computers and their operations.,Hindi Literature
Principles of Data Base Management,"Wilfried Lemahieu, Seppe vanden Broucke, Bart Baesens",Cambridge University Press,2018-07-12,817,Principles and practices of database management systems.,Data Management
Advanced UNIX - A Programming Guide,Stephen Prata,,1986,484,Advanced guide to UNIX programming and its features.,Operating Systems
Programming in BASIC,"John G. Kemeny, Thomas E. Kurtz",John Wiley & Sons,1980,352,Introduction to programming using the BASIC language.,Programming
A First Course in Computers - 2003,Sanjay Saxena,Vikas Publishing House,2009-11-01,,"A beginner's guide to computers, updated for the year 2003.",Textbook/Computing
Windows 2000 Professional,Element K Content LLC,,2003,756,Detailed guide to the Windows 2000 Professional operating system.,Technology/Operating Systems
The Personal Computer Book,Roy A. Allan,Allan Publishing,2001,528,An overview of personal computers and their use.,Technology/Computing
मीडिया एवं सूचना/प्रौद्योगिकी कोर्स,U C Gupta,,2009,239,A course on media and information technology.,Media/Technology
हिन्दी पत्रकारिता और राष्ट्रीय एकता,Harimohana Śarmā,Takshasila Prakasana,1999,216,Examines Hindi journalism and its role in national unity.,Journalism/Politics
आधुनिक जन संसार और हिन्दी,DR. NAWAL KISHORE PRASAD SHRIVASTAV,Shashwat Publication,2023-09-16,230,Discusses the modern world and its relationship with the Hindi language.,Hindi Literature
Cataloguing Theory & Practice,Caduveti Gurusubramanya Viswanathan,London : Asia Publishing House,1965,318,Covers the theory and practice of cataloging in libraries.,Library Science
British Administration in Kumaon Himalaya,Arun K. Mittal,Mittal Publications,1986,272,Examines British administrative practices in the Kumaon Himalayas.,History/Administration
Computer User Training in Library Science,Ramesh Lal Sehgal,,1995,296,Training guide for using computers in library science.,Library Science/Training
